node_id,node_type,source_id,canonical_name,display_name,properties_json,source_scope,active,created_by,schema_version
kg_datasetrecord_dr_00027af23e2e0e60a091,DatasetRecord,dr_00027af23e2e0e60a091,dr_00027af23e2e0e60a091,dr_00027af23e2e0e60a091,"{""prop"": ""tg"", ""row_index"": ""11409"", ""smiles"": ""*C(=O)Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(NC(=O)c5ccc6c(c5)C(=O)N(c5ccc(C)c(N7C(=O)c8ccc(*)cc8C7=O)c5)C6=O)cc4)cc3)cc2)cc1""}",dataset,true,deterministic,2.0
kg_datasetrecord_dr_0004066bd81a06e82080,DatasetRecord,dr_0004066bd81a06e82080,dr_0004066bd81a06e82080,dr_0004066bd81a06e82080,"{""prop"": ""tg"", ""row_index"": ""9415"", ""smiles"": ""*c1ccc(NC(=O)c2cc(NC(=O)c3ccc(OC(C)=O)cc3)cc(C(=O)Nc3ccc(-c4nnc(*)o4)cc3)c2)cc1""}",dataset,true,deterministic,2.0
kg_datasetrecord_dr_00049c49c9be54b6a98d,DatasetRecord,dr_00049c49c9be54b6a98d,dr_00049c49c9be54b6a98d,dr_00049c49c9be54b6a98d,"{""prop"": ""tg"", ""row_index"": ""11426"", ""smiles"": ""*CCC1C(=O)N(CCC)C(=O)C1*""}",dataset,true,deterministic,2.0
kg_datasetrecord_dr_000d5ae2287cecab82ea,DatasetRecord,dr_000d5ae2287cecab82ea,dr_000d5ae2287cecab82ea,dr_000d5ae2287cecab82ea,"{""prop"": ""tg"", ""row_index"": ""11839"", ""smiles"": ""*CCCCCCCCCCN1C(=O)c2ccc(C(c3ccc4c(c3)C(=O)N(*)C4=O)(C(F)(F)F)C(F)(F)F)cc2C1=O""}",dataset,true,deterministic,2.0
kg_datasetrecord_dr_0011a77da22ad3a68f5b,DatasetRecord,dr_0011a77da22ad3a68f5b,dr_0011a77da22ad3a68f5b,dr_0011a77da22ad3a68f5b,"{""prop"": ""tg"", ""row_index"": ""11193"", ""smiles"": ""*c1cccc(OCCCCCCCCCOc2cccc(N3C(=O)c4ccc(-c5cccc6c5C(=O)N(*)C6=O)cc4C3=O)c2)c1""}",dataset,true,deterministic,2.0
kg_datasetrecord_dr_0018cd743c89fb64cbce,DatasetRecord,dr_0018cd743c89fb64cbce,dr_0018cd743c89fb64cbce,dr_0018cd743c89fb64cbce,"{""prop"": ""tg"", ""row_index"": ""7231"", ""smiles"": ""*C(=O)NC1CCC(CC2CCC(NC(=O)c3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)CC2)CC1""}",dataset,true,deterministic,2.0
kg_datasetrecord_dr_00192cd1e17764462056,DatasetRecord,dr_00192cd1e17764462056,dr_00192cd1e17764462056,dr_00192cd1e17764462056,"{""prop"": ""egc"", ""row_index"": ""3683"", ""smiles"": ""*Nc1cc(Br)c(*)cc1Br""}",dataset,true,deterministic,2.0
kg_datasetrecord_dr_001c054bd8da6a2c3911,DatasetRecord,dr_001c054bd8da6a2c3911,dr_001c054bd8da6a2c3911,dr_001c054bd8da6a2c3911,"{""prop"": ""egc"", ""row_index"": ""2940"", ""smiles"": ""*CCCCCCCOC(=O)C(=O)O*""}",dataset,true,deterministic,2.0
kg_datasetrecord_dr_002aa22e2e13bf99f102,DatasetRecord,dr_002aa22e2e13bf99f102,dr_002aa22e2e13bf99f102,dr_002aa22e2e13bf99f102,"{""prop"": ""egc"", ""row_index"": ""3275"", ""smiles"": ""*CCCNC(=O)NCCCCCCNC(=O)O*""}",dataset,true,deterministic,2.0
kg_datasetrecord_dr_0035daf7df2dbd95aa67,DatasetRecord,dr_0035daf7df2dbd95aa67,dr_0035daf7df2dbd95aa67,dr_0035daf7df2dbd95aa67,"{""prop"": ""tg"", ""row_index"": ""9229"", ""smiles"": ""*Oc1ccc(NC(=O)c2cc(NC(=O)CCN3C(=O)c4ccccc4C3=O)cc(C(=O)Nc3ccc(*)cc3)c2)cc1""}",dataset,true,deterministic,2.0
kg_datasetrecord_dr_003c45465d9ced987cc0,DatasetRecord,dr_003c45465d9ced987cc0,dr_003c45465d9ced987cc0,dr_003c45465d9ced987cc0,"{""prop"": ""tg"", ""row_index"": ""11988"", ""smiles"": ""*Oc1ccc(C(C)(c2ccccc2)c2ccc(OC(=O)OC3C(C)(C)C(OC(*)=O)C3(C)C)cc2)cc1""}",dataset,true,deterministic,2.0
kg_datasetrecord_dr_003cac8945ea5db63cf0,DatasetRecord,dr_003cac8945ea5db63cf0,dr_003cac8945ea5db63cf0,dr_003cac8945ea5db63cf0,"{""prop"": ""eea"", ""row_index"": ""215"", ""smiles"": ""*C(=O)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1""}",dataset,true,deterministic,2.0
kg_datasetrecord_dr_003eafd75a5e8d013fcf,DatasetRecord,dr_003eafd75a5e8d013fcf,dr_003eafd75a5e8d013fcf,dr_003eafd75a5e8d013fcf,"{""prop"": ""tg"", ""row_index"": ""6447"", ""smiles"": ""*Oc1ccc(NC(=O)c2ccc(Oc3ccc(C(C)(C)c4cccc(C(C)(C)c5ccc(Oc6ccc(C(=O)Nc7ccc(Oc8ccc(-c9ccc(*)cc9)cc8)cc7)cc6)cc5)c4)cc3)cc2)cc1""}",dataset,true,deterministic,2.0
kg_datasetrecord_dr_004cbd076213e03cff2a,DatasetRecord,dr_004cbd076213e03cff2a,dr_004cbd076213e03cff2a,dr_004cbd076213e03cff2a,"{""prop"": ""egc"", ""row_index"": ""1390"", ""smiles"": ""*CCCCOC(=O)NCCSCCSCCNC(=O)O*""}",dataset,true,deterministic,2.0
kg_datasetrecord_dr_004f574eebd051f6a6b2,DatasetRecord,dr_004f574eebd051f6a6b2,dr_004f574eebd051f6a6b2,dr_004f574eebd051f6a6b2,"{""prop"": ""eea"", ""row_index"": ""20"", ""smiles"": ""*CCCCCC(=O)O*""}",dataset,true,deterministic,2.0
kg_datasetrecord_dr_00580d274a10ee6e072a,DatasetRecord,dr_00580d274a10ee6e072a,dr_00580d274a10ee6e072a,dr_00580d274a10ee6e072a,"{""prop"": ""egc"", ""row_index"": ""3799"", ""smiles"": ""*CCc1ccc(*)c(Cl)c1Cl""}",dataset,true,deterministic,2.0
kg_datasetrecord_dr_005a866651497df25f09,DatasetRecord,dr_005a866651497df25f09,dr_005a866651497df25f09,dr_005a866651497df25f09,"{""prop"": ""tg"", ""row_index"": ""12453"", ""smiles"": ""*O[Si](C)(C)C#Cc1ccc(C#C[Si](*)(C)C)cc1""}",dataset,true,deterministic,2.0
kg_datasetrecord_dr_005ce9d862f93c2bcd38,DatasetRecord,dr_005ce9d862f93c2bcd38,dr_005ce9d862f93c2bcd38,dr_005ce9d862f93c2bcd38,"{""prop"": ""eea"", ""row_index"": ""290"", ""smiles"": ""*OCCC(=O)CC(=O)Oc1ccc(*)cc1""}",dataset,true,deterministic,2.0
kg_datasetrecord_dr_005e3aa2620b9f6462c6,DatasetRecord,dr_005e3aa2620b9f6462c6,dr_005e3aa2620b9f6462c6,dr_005e3aa2620b9f6462c6,"{""prop"": ""egc"", ""row_index"": ""2359"", ""smiles"": ""*CC(C)(C)C1CC=C(*)CC1""}",dataset,true,deterministic,2.0
kg_datasetrecord_dr_006230702d4645201d62,DatasetRecord,dr_006230702d4645201d62,dr_006230702d4645201d62,dr_006230702d4645201d62,"{""prop"": ""ei"", ""row_index"": ""4656"", ""smiles"": ""*NC(F)(F)NC(*)(F)F""}",dataset,true,deterministic,2.0
kg_datasetrecord_dr_0067b1d8ded0a1dbbfef,DatasetRecord,dr_0067b1d8ded0a1dbbfef,dr_0067b1d8ded0a1dbbfef,dr_0067b1d8ded0a1dbbfef,"{""prop"": ""tg"", ""row_index"": ""10534"", ""smiles"": ""*c1cccc(C(=O)Nc2ccc(Oc3ccc(-c4ccc(Oc5ccc(NC(=O)c6cccc(N7C(=O)c8ccc(-c9cccc%10c9C(=O)N(*)C%10=O)cc8C7=O)c6)cc5)cc4)cc3)cc2)c1""}",dataset,true,deterministic,2.0
kg_datasetrecord_dr_00682cc246dca47f7226,DatasetRecord,dr_00682cc246dca47f7226,dr_00682cc246dca47f7226,dr_00682cc246dca47f7226,"{""prop"": ""tg"", ""row_index"": ""9115"", ""smiles"": ""*Oc1ccc(C2(c3ccc(OC(=O)c4ccc(Oc5ccc(C6(c7ccc(Oc8ccc(C(*)=O)cc8)cc7)CCC(C(C)(C)C)CC6)cc5)cc4)cc3)CCCCCCCCCCC2)cc1""}",dataset,true,deterministic,2.0
