+ torchrun --standalone --nproc_per_node=3 scripts/pretrain_mts_glt_distill.py --config configs/mts/glt_distill_repair_c2.json --stage teacher
W0909 05:16:23.498000 3317498 site-packages/torch/distributed/run.py:774] 
W0909 05:16:23.498000 3317498 site-packages/torch/distributed/run.py:774] *****************************************
W0909 05:16:23.498000 3317498 site-packages/torch/distributed/run.py:774] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0909 05:16:23.498000 3317498 site-packages/torch/distributed/run.py:774] *****************************************
[lmdb_cache] ru_base_missing=0, topology_missing=0, trimer_missing=0, jobs=0, workers=0
[lmdb_cache] ru_base_missing=0, topology_missing=0, trimer_missing=0, jobs=0, workers=0
[lmdb_cache] ru_base_missing=0, topology_missing=0, trimer_missing=0, jobs=0, workers=0
reusing feature-cache diagnostics data/processed/mips_trimer_scage/diagnostics_PI1M_v2_mips_trimer_scage-starlink-backbone-mts-canonical-periodic-feature-v3-paper_corrected-hop2-manual_geom-repeat-unit-energytop4_cand8_full_hardtimeout45_fp-disabled_tok0.json
reusing feature-cache diagnostics data/processed/mips_trimer_scage/diagnostics_PI1M_v2_mips_trimer_scage-starlink-backbone-mts-canonical-periodic-feature-v3-paper_corrected-hop2-manual_geom-repeat-unit-energytop4_cand8_full_hardtimeout45_fp-disabled_tok0.json
reusing feature-cache diagnostics data/processed/mips_trimer_scage/diagnostics_PI1M_v2_mips_trimer_scage-starlink-backbone-mts-canonical-periodic-feature-v3-paper_corrected-hop2-manual_geom-repeat-unit-energytop4_cand8_full_hardtimeout45_fp-disabled_tok0.json
Created dataloader with 995799 samples
Created dataloader with 995799 samples
Created dataloader with 995799 samples
n_plus_2 teacher step=1/5000 loss=3.24127 lr=8.000e-07
n_plus_2 teacher step=20/5000 loss=2.98628 lr=8.400e-06
n_plus_2 teacher step=40/5000 loss=2.57853 lr=1.640e-05
n_plus_2 teacher step=60/5000 loss=2.22267 lr=2.440e-05
n_plus_2 teacher step=80/5000 loss=1.82996 lr=3.240e-05
n_plus_2 teacher step=100/5000 loss=1.32843 lr=4.040e-05
n_plus_2 teacher step=120/5000 loss=0.85381 lr=4.840e-05
n_plus_2 teacher step=140/5000 loss=0.57523 lr=5.640e-05
n_plus_2 teacher step=160/5000 loss=0.43091 lr=6.440e-05
n_plus_2 teacher step=180/5000 loss=0.35096 lr=7.240e-05
n_plus_2 teacher step=200/5000 loss=0.31022 lr=8.040e-05
n_plus_2 teacher step=220/5000 loss=0.28422 lr=8.840e-05
n_plus_2 teacher step=240/5000 loss=0.25121 lr=9.640e-05
n_plus_2 teacher step=260/5000 loss=0.22905 lr=1.044e-04
n_plus_2 teacher step=280/5000 loss=0.21477 lr=1.124e-04
n_plus_2 teacher step=300/5000 loss=0.18563 lr=1.204e-04
n_plus_2 teacher step=320/5000 loss=0.17821 lr=1.284e-04
n_plus_2 teacher step=340/5000 loss=0.17387 lr=1.364e-04
n_plus_2 teacher step=360/5000 loss=0.16490 lr=1.444e-04
n_plus_2 teacher step=380/5000 loss=0.14987 lr=1.524e-04
n_plus_2 teacher step=400/5000 loss=0.13896 lr=1.604e-04
n_plus_2 teacher step=420/5000 loss=0.13318 lr=1.684e-04
n_plus_2 teacher step=440/5000 loss=0.13791 lr=1.764e-04
n_plus_2 teacher step=460/5000 loss=0.12446 lr=1.844e-04
n_plus_2 teacher step=480/5000 loss=0.12453 lr=1.924e-04
n_plus_2 teacher step=500/5000 loss=0.12493 lr=2.000e-04
n_plus_2 teacher step=520/5000 loss=0.11872 lr=1.991e-04
n_plus_2 teacher step=540/5000 loss=0.11700 lr=1.982e-04
n_plus_2 teacher step=560/5000 loss=0.10112 lr=1.973e-04
n_plus_2 teacher step=580/5000 loss=0.10218 lr=1.964e-04
n_plus_2 teacher step=600/5000 loss=0.10397 lr=1.956e-04
n_plus_2 teacher step=620/5000 loss=0.10390 lr=1.947e-04
n_plus_2 teacher step=640/5000 loss=0.10322 lr=1.938e-04
