+ torchrun --standalone --nproc_per_node=3 scripts/pretrain_mts_glt_distill.py --config configs/mts/glt_distill_repair_c2.json --stage student --teacher-checkpoint /root/workspace/Uni-Poly-Plus-master/results/mts_glt_distill_repair_control/c2/teacher/teacher_005k.pt --resume /root/workspace/Uni-Poly-Plus-master/results/mts_glt_distill_repair_control/c2/student/student_007k.pt
W0909 11:48:11.045000 2513 site-packages/torch/distributed/run.py:774] 
W0909 11:48:11.045000 2513 site-packages/torch/distributed/run.py:774] *****************************************
W0909 11:48:11.045000 2513 site-packages/torch/distributed/run.py:774] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0909 11:48:11.045000 2513 site-packages/torch/distributed/run.py:774] *****************************************
[lmdb_cache] ru_base_missing=0, topology_missing=0, trimer_missing=0, jobs=0, workers=0
[lmdb_cache] ru_base_missing=0, topology_missing=0, trimer_missing=0, jobs=0, workers=0
[lmdb_cache] ru_base_missing=0, topology_missing=0, trimer_missing=0, jobs=0, workers=0
reusing feature-cache diagnostics data/processed/mips_trimer_scage/diagnostics_PI1M_v2_mips_trimer_scage-starlink-backbone-mts-canonical-periodic-feature-v3-paper_corrected-hop2-manual_geom-repeat-unit-energytop4_cand8_full_hardtimeout45_fp-disabled_tok0.json
reusing feature-cache diagnostics data/processed/mips_trimer_scage/diagnostics_PI1M_v2_mips_trimer_scage-starlink-backbone-mts-canonical-periodic-feature-v3-paper_corrected-hop2-manual_geom-repeat-unit-energytop4_cand8_full_hardtimeout45_fp-disabled_tok0.json
reusing feature-cache diagnostics data/processed/mips_trimer_scage/diagnostics_PI1M_v2_mips_trimer_scage-starlink-backbone-mts-canonical-periodic-feature-v3-paper_corrected-hop2-manual_geom-repeat-unit-energytop4_cand8_full_hardtimeout45_fp-disabled_tok0.json
Created dataloader with 995799 samples
Created dataloader with 995799 samples
Created dataloader with 995799 samples
n_plus_2 student step=7020/20000 loss=0.55025 lr=1.442e-04
n_plus_2 student step=7040/20000 loss=0.55100 lr=1.440e-04
n_plus_2 student step=7060/20000 loss=0.56176 lr=1.438e-04
n_plus_2 student step=7080/20000 loss=0.55105 lr=1.436e-04
n_plus_2 student step=7100/20000 loss=0.55221 lr=1.433e-04
n_plus_2 student step=7120/20000 loss=0.56323 lr=1.431e-04
n_plus_2 student step=7140/20000 loss=0.56633 lr=1.429e-04
n_plus_2 student step=7160/20000 loss=0.56313 lr=1.427e-04
n_plus_2 student step=7180/20000 loss=0.54462 lr=1.424e-04
n_plus_2 student step=7200/20000 loss=0.54887 lr=1.422e-04
n_plus_2 student step=7220/20000 loss=0.54044 lr=1.420e-04
n_plus_2 student step=7240/20000 loss=0.54691 lr=1.418e-04
n_plus_2 student step=7260/20000 loss=0.55499 lr=1.416e-04
n_plus_2 student step=7280/20000 loss=0.55678 lr=1.413e-04
n_plus_2 student step=7300/20000 loss=0.55747 lr=1.411e-04
n_plus_2 student step=7320/20000 loss=0.55494 lr=1.409e-04
n_plus_2 student step=7340/20000 loss=0.53980 lr=1.407e-04
n_plus_2 student step=7360/20000 loss=0.55157 lr=1.404e-04
n_plus_2 student step=7380/20000 loss=0.56321 lr=1.402e-04
n_plus_2 student step=7400/20000 loss=0.54916 lr=1.400e-04
n_plus_2 student step=7420/20000 loss=0.54211 lr=1.398e-04
n_plus_2 student step=7440/20000 loss=0.56144 lr=1.396e-04
n_plus_2 student step=7460/20000 loss=0.55700 lr=1.393e-04
n_plus_2 student step=7480/20000 loss=0.55161 lr=1.391e-04
