W0908 14:17:42.036000 3256287 site-packages/torch/distributed/run.py:774] 
W0908 14:17:42.036000 3256287 site-packages/torch/distributed/run.py:774] *****************************************
W0908 14:17:42.036000 3256287 site-packages/torch/distributed/run.py:774] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0908 14:17:42.036000 3256287 site-packages/torch/distributed/run.py:774] *****************************************
[lmdb_cache] ru_base_missing=0, topology_missing=0, trimer_missing=0, jobs=0, workers=0
[lmdb_cache] ru_base_missing=0, topology_missing=0, trimer_missing=0, jobs=0, workers=0
[lmdb_cache] ru_base_missing=0, topology_missing=0, trimer_missing=0, jobs=0, workers=0
reusing feature-cache diagnostics data/processed/mips_trimer_scage/diagnostics_PI1M_v2_mips_trimer_scage-starlink-backbone-mts-canonical-periodic-feature-v3-paper_corrected-hop2-manual_geom-repeat-unit-energytop4_cand8_full_hardtimeout45_fp-disabled_tok0.json
reusing feature-cache diagnostics data/processed/mips_trimer_scage/diagnostics_PI1M_v2_mips_trimer_scage-starlink-backbone-mts-canonical-periodic-feature-v3-paper_corrected-hop2-manual_geom-repeat-unit-energytop4_cand8_full_hardtimeout45_fp-disabled_tok0.json
reusing feature-cache diagnostics data/processed/mips_trimer_scage/diagnostics_PI1M_v2_mips_trimer_scage-starlink-backbone-mts-canonical-periodic-feature-v3-paper_corrected-hop2-manual_geom-repeat-unit-energytop4_cand8_full_hardtimeout45_fp-disabled_tok0.json
Created dataloader with 995799 samples
Created dataloader with 995799 samples
Created dataloader with 995799 samples
n_plus_2 teacher step=1/5000 loss=3.24131 lr=8.000e-07
n_plus_2 teacher step=20/5000 loss=2.98622 lr=8.400e-06
n_plus_2 teacher step=40/5000 loss=2.57853 lr=1.640e-05
n_plus_2 teacher step=60/5000 loss=2.22266 lr=2.440e-05
n_plus_2 teacher step=80/5000 loss=1.82988 lr=3.240e-05
n_plus_2 teacher step=100/5000 loss=1.32844 lr=4.040e-05
n_plus_2 teacher step=120/5000 loss=0.85388 lr=4.840e-05
n_plus_2 teacher step=140/5000 loss=0.57531 lr=5.640e-05
n_plus_2 teacher step=160/5000 loss=0.43165 lr=6.440e-05
n_plus_2 teacher step=180/5000 loss=0.35001 lr=7.240e-05
n_plus_2 teacher step=200/5000 loss=0.30861 lr=8.040e-05
n_plus_2 teacher step=220/5000 loss=0.28435 lr=8.840e-05
n_plus_2 teacher step=240/5000 loss=0.24993 lr=9.640e-05
n_plus_2 teacher step=260/5000 loss=0.23639 lr=1.044e-04
n_plus_2 teacher step=280/5000 loss=0.22241 lr=1.124e-04
n_plus_2 teacher step=300/5000 loss=0.18013 lr=1.204e-04
n_plus_2 teacher step=320/5000 loss=0.17838 lr=1.284e-04
n_plus_2 teacher step=340/5000 loss=0.17126 lr=1.364e-04
n_plus_2 teacher step=360/5000 loss=0.16440 lr=1.444e-04
n_plus_2 teacher step=380/5000 loss=0.14473 lr=1.524e-04
n_plus_2 teacher step=400/5000 loss=0.13634 lr=1.604e-04
n_plus_2 teacher step=420/5000 loss=0.13148 lr=1.684e-04
n_plus_2 teacher step=440/5000 loss=0.13822 lr=1.764e-04
n_plus_2 teacher step=460/5000 loss=0.13067 lr=1.844e-04
n_plus_2 teacher step=480/5000 loss=0.12147 lr=1.924e-04
n_plus_2 teacher step=500/5000 loss=0.11629 lr=2.000e-04
n_plus_2 teacher step=520/5000 loss=0.11946 lr=1.991e-04
n_plus_2 teacher step=540/5000 loss=0.11364 lr=1.982e-04
n_plus_2 teacher step=560/5000 loss=0.10004 lr=1.973e-04
n_plus_2 teacher step=580/5000 loss=0.10048 lr=1.964e-04
n_plus_2 teacher step=600/5000 loss=0.10602 lr=1.956e-04
n_plus_2 teacher step=620/5000 loss=0.10227 lr=1.947e-04
n_plus_2 teacher step=640/5000 loss=0.10527 lr=1.938e-04
n_plus_2 teacher step=660/5000 loss=0.10372 lr=1.929e-04
n_plus_2 teacher step=680/5000 loss=0.08913 lr=1.920e-04
n_plus_2 teacher step=700/5000 loss=0.09262 lr=1.911e-04
n_plus_2 teacher step=720/5000 loss=0.10459 lr=1.902e-04
n_plus_2 teacher step=740/5000 loss=0.08785 lr=1.893e-04
n_plus_2 teacher step=760/5000 loss=0.09743 lr=1.884e-04
n_plus_2 teacher step=780/5000 loss=0.10004 lr=1.876e-04
n_plus_2 teacher step=800/5000 loss=0.08238 lr=1.867e-04
n_plus_2 teacher step=820/5000 loss=0.08664 lr=1.858e-04
n_plus_2 teacher step=840/5000 loss=0.09076 lr=1.849e-04
n_plus_2 teacher step=860/5000 loss=0.08761 lr=1.840e-04
n_plus_2 teacher step=880/5000 loss=0.08909 lr=1.831e-04
n_plus_2 teacher step=900/5000 loss=0.08771 lr=1.822e-04
n_plus_2 teacher step=920/5000 loss=0.07466 lr=1.813e-04
n_plus_2 teacher step=940/5000 loss=0.08341 lr=1.804e-04
n_plus_2 teacher step=960/5000 loss=0.08795 lr=1.796e-04
n_plus_2 teacher step=980/5000 loss=0.08344 lr=1.787e-04
n_plus_2 teacher step=1000/5000 loss=0.08328 lr=1.778e-04
n_plus_2 teacher step=1020/5000 loss=0.08554 lr=1.769e-04
n_plus_2 teacher step=1040/5000 loss=0.07414 lr=1.760e-04
n_plus_2 teacher step=1060/5000 loss=0.08444 lr=1.751e-04
n_plus_2 teacher step=1080/5000 loss=0.07404 lr=1.742e-04
n_plus_2 teacher step=1100/5000 loss=0.08411 lr=1.733e-04
n_plus_2 teacher step=1120/5000 loss=0.07206 lr=1.724e-04
n_plus_2 teacher step=1140/5000 loss=0.07931 lr=1.716e-04
n_plus_2 teacher step=1160/5000 loss=0.07378 lr=1.707e-04
n_plus_2 teacher step=1180/5000 loss=0.08382 lr=1.698e-04
n_plus_2 teacher step=1200/5000 loss=0.07311 lr=1.689e-04
n_plus_2 teacher step=1220/5000 loss=0.06688 lr=1.680e-04
n_plus_2 teacher step=1240/5000 loss=0.07175 lr=1.671e-04
