+ /opt/conda/bin/python -m pytest -q tests/test_mts_glt_distill.py tests/test_mts_glt_v3.py
...............                                                          [100%]
=============================== warnings summary ===============================
../../../opt/conda/lib/python3.11/site-packages/torch_geometric/llm/utils/backend_utils.py:26
  /opt/conda/lib/python3.11/site-packages/torch_geometric/llm/utils/backend_utils.py:26: DeprecationWarning: `torch_geometric.distributed` has been deprecated since 2.7.0 and will no longer be maintained. For distributed training, refer to our tutorials on distributed training at https://pytorch-geometric.readthedocs.io/en/latest/tutorial/distributed.html or cuGraph examples at https://github.com/rapidsai/cugraph-gnn/tree/main/python/cugraph-pyg/cugraph_pyg/examples
    from torch_geometric.distributed import (

-- Docs: https://docs.pytest.org/en/stable/how-to/capture-warnings.html
15 passed, 1 warning in 7.18s
reuse complete n_plus_2 teacher: /root/workspace/Uni-Poly-Plus-master/results/mts_glt_v2_distill/n_plus_2/teacher/teacher_005k.pt
+ torchrun --standalone --nproc_per_node=3 scripts/pretrain_mts_glt_distill.py --config configs/mts/glt_distill_n_plus_2.json --stage student
W0908 14:46:07.839000 3258243 site-packages/torch/distributed/run.py:774] 
W0908 14:46:07.839000 3258243 site-packages/torch/distributed/run.py:774] *****************************************
W0908 14:46:07.839000 3258243 site-packages/torch/distributed/run.py:774] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0908 14:46:07.839000 3258243 site-packages/torch/distributed/run.py:774] *****************************************
[lmdb_cache] ru_base_missing=0, topology_missing=0, trimer_missing=0, jobs=0, workers=0
[lmdb_cache] ru_base_missing=0, topology_missing=0, trimer_missing=0, jobs=0, workers=0
[lmdb_cache] ru_base_missing=0, topology_missing=0, trimer_missing=0, jobs=0, workers=0
reusing feature-cache diagnostics data/processed/mips_trimer_scage/diagnostics_PI1M_v2_mips_trimer_scage-starlink-backbone-mts-canonical-periodic-feature-v3-paper_corrected-hop2-manual_geom-repeat-unit-energytop4_cand8_full_hardtimeout45_fp-disabled_tok0.json
reusing feature-cache diagnostics data/processed/mips_trimer_scage/diagnostics_PI1M_v2_mips_trimer_scage-starlink-backbone-mts-canonical-periodic-feature-v3-paper_corrected-hop2-manual_geom-repeat-unit-energytop4_cand8_full_hardtimeout45_fp-disabled_tok0.json
reusing feature-cache diagnostics data/processed/mips_trimer_scage/diagnostics_PI1M_v2_mips_trimer_scage-starlink-backbone-mts-canonical-periodic-feature-v3-paper_corrected-hop2-manual_geom-repeat-unit-energytop4_cand8_full_hardtimeout45_fp-disabled_tok0.json
Created dataloader with 995799 samples
Created dataloader with 995799 samples
Created dataloader with 995799 samples
n_plus_2 student step=1/20000 loss=4.69862 lr=2.000e-07
n_plus_2 student step=20/20000 loss=4.24239 lr=2.100e-06
n_plus_2 student step=40/20000 loss=2.89776 lr=4.100e-06
n_plus_2 student step=60/20000 loss=1.46381 lr=6.100e-06
n_plus_2 student step=80/20000 loss=0.99523 lr=8.100e-06
n_plus_2 student step=100/20000 loss=0.80231 lr=1.010e-05
n_plus_2 student step=120/20000 loss=0.68995 lr=1.210e-05
n_plus_2 student step=140/20000 loss=0.63900 lr=1.410e-05
n_plus_2 student step=160/20000 loss=0.61391 lr=1.610e-05
n_plus_2 student step=180/20000 loss=0.60259 lr=1.810e-05
n_plus_2 student step=200/20000 loss=0.61661 lr=2.010e-05
n_plus_2 student step=220/20000 loss=0.59323 lr=2.210e-05
n_plus_2 student step=240/20000 loss=0.60783 lr=2.410e-05
n_plus_2 student step=260/20000 loss=0.57428 lr=2.610e-05
n_plus_2 student step=280/20000 loss=0.54885 lr=2.810e-05
n_plus_2 student step=300/20000 loss=0.53226 lr=3.010e-05
n_plus_2 student step=320/20000 loss=0.51350 lr=3.210e-05
n_plus_2 student step=340/20000 loss=0.51481 lr=3.410e-05
n_plus_2 student step=360/20000 loss=0.53940 lr=3.610e-05
n_plus_2 student step=380/20000 loss=0.51893 lr=3.810e-05
n_plus_2 student step=400/20000 loss=0.49611 lr=4.010e-05
n_plus_2 student step=420/20000 loss=0.51314 lr=4.210e-05
n_plus_2 student step=440/20000 loss=0.47815 lr=4.410e-05
n_plus_2 student step=460/20000 loss=0.47135 lr=4.610e-05
n_plus_2 student step=480/20000 loss=0.45555 lr=4.810e-05
n_plus_2 student step=500/20000 loss=0.46828 lr=5.010e-05
n_plus_2 student step=520/20000 loss=0.45975 lr=5.210e-05
