REUSE complete sidecar /root/workspace/Uni-Poly-Plus-master/data/processed/mips_trimer_scage/periodic_line_glt_image_v1/PI1M_v2
REUSE complete sidecar /root/workspace/Uni-Poly-Plus-master/data/processed/mips_trimer_scage/md200_pi1m_v1/PI1M_v2
REUSE complete sidecar /root/workspace/Uni-Poly-Plus-master/data/processed/mips_trimer_scage/periodic_line_glt_image_v1/downstream_union
RUN torchrun --standalone --nproc_per_node=3 scripts/pretrain.py --experiment_config configs/mts/glt_v3_galformer_20k.json
W0908 02:09:18.803000 3212607 site-packages/torch/distributed/run.py:774] 
W0908 02:09:18.803000 3212607 site-packages/torch/distributed/run.py:774] *****************************************
W0908 02:09:18.803000 3212607 site-packages/torch/distributed/run.py:774] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0908 02:09:18.803000 3212607 site-packages/torch/distributed/run.py:774] *****************************************
[lmdb_cache] ru_base_missing=0, topology_missing=0, trimer_missing=0, jobs=0, workers=0
[lmdb_cache] ru_base_missing=0, topology_missing=0, trimer_missing=0, jobs=0, workers=0
[lmdb_cache] ru_base_missing=0, topology_missing=0, trimer_missing=0, jobs=0, workers=0
reusing feature-cache diagnostics data/processed/mips_trimer_scage/diagnostics_PI1M_v2_mips_trimer_scage-starlink-backbone-mts-canonical-periodic-feature-v3-paper_corrected-hop2-manual_geom-repeat-unit-energytop4_cand8_full_hardtimeout45_fp-disabled_tok0.json
reusing feature-cache diagnostics data/processed/mips_trimer_scage/diagnostics_PI1M_v2_mips_trimer_scage-starlink-backbone-mts-canonical-periodic-feature-v3-paper_corrected-hop2-manual_geom-repeat-unit-energytop4_cand8_full_hardtimeout45_fp-disabled_tok0.json
reusing feature-cache diagnostics data/processed/mips_trimer_scage/diagnostics_PI1M_v2_mips_trimer_scage-starlink-backbone-mts-canonical-periodic-feature-v3-paper_corrected-hop2-manual_geom-repeat-unit-energytop4_cand8_full_hardtimeout45_fp-disabled_tok0.json
Created dataloader with 995799 samples
Created dataloader with 995799 samples
Created dataloader with 995799 samples
MTS-GLT-v3 step=1/20000 2d=4.59796 3d=3.41596 cl=6.89233
MTS-GLT-v3 step=2/20000 2d=4.60199 3d=3.39483 cl=6.88927
MTS-GLT-v3 step=3/20000 2d=4.59863 3d=3.38044 cl=6.88807
MTS-GLT-v3 step=4/20000 2d=4.59113 3d=3.31061 cl=6.90445
MTS-GLT-v3 step=5/20000 2d=4.58137 3d=3.30222 cl=6.88742
MTS-GLT-v3 step=6/20000 2d=4.57529 3d=3.41457 cl=6.88530
MTS-GLT-v3 step=7/20000 2d=4.56807 3d=3.30598 cl=6.87823
MTS-GLT-v3 step=8/20000 2d=4.55735 3d=3.38532 cl=6.88398
